番号,ポケモン,わざ1,わざ2,わざ3,わざ4,もちもの,せいかく,努力値,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ
165,サナギラス,がんせきふうじ,あなをほる,こわいかお,すなあらし,かたいいし,いじっぱり,HP/こうげき,163,134,77,64,77,58
166,トドグラー,オーロラビーム,みずのはどう,アンコール,あられ,つめたいいわ,のんき,HP/とくこう,183,67,84,113,77,46
167,ビーダル,ずつき,みずのはどう,でんこうせっか,なきごえ,ヨプのみ,きまぐれ,こうげき/とくこう,141,123,67,93,67,78
168,ガバイト,りゅうのいかり,すなじごく,きりさく,すなかけ,ヤチェのみ,いじっぱり,こうげき/すばやさ,130,140,72,51,62,120
169,ゴーリキー,からてチョップ,がんせきふうじ,みやぶる,こわいかお,きあいのハチマキ,いじっぱり,HP/こうげき,173,151,77,51,67,52
170,ラッタ,がむしゃら,おいうち,でんこうせっか,こわいかお,シルクのスカーフ,ようき,こうげき/すばやさ,117,119,64,51,77,148
171,アメモース,ぎんいろのかぜ,エアカッター,あまいかおり,こわいかお,ぎんのこな,ずぶとい,ぼうぎょ/とくこう,132,60,110,118,89,67
172,オオタチ,きりさく,ふいうち,てだすけ,ねこのて,チイラのみ,ようき,こうげき/すばやさ,147,114,71,46,62,140
173,ルクシオ,かみなりのキバ,かみつく,フラッシュ,いばる,じしゃく,いじっぱり,HP/こうげき,153,135,56,60,56,67
174,チェリム,マジカルリーフ,やどりぎのタネ,くさぶえ,こうごうせい,キーのみ,ずぶとい,とくぼう/すばやさ,132,60,84,94,116,123
175,ハクリュー,りゅうのいぶき,みずのはどう,でんじは,しんぴのまもり,クラボのみ,ひかえめ,とくこう/とくぼう,123,81,72,118,108,77
176,グラエナ,かみつく,どくどくのキバ,とおぼえ,ほえる,するどいキバ,ようき,こうげき/すばやさ,132,128,77,60,67,118
177,マッスグマ,きりさく,シャドークロー,ほしがる,くすぐる,サンのみ,ようき,こうげき/すばやさ,140,108,68,51,68,151
178,ユンゲラー,ねんりき,なりきり,かなしばり,みらいよち,まがったスプーン,おくびょう,とくぼう/すばやさ,102,37,37,127,108,157
179,コモルー,りゅうのいぶき,ずつき,まもる,こわいかお,ナナシのみ,れいせい,こうげき/とくこう,127,133,107,107,57,51
180,メタング,メタルクロー,ねんりき,でんじふゆう,こわいかお,カゴのみ,がんばりや,こうげき/とくこう,122,113,107,93,84,57
181,ミノマダム,はっぱカッター,むしくい,まもる,ゆうわく,バコウのみ,いじっぱり,こうげき/とくぼう,163,90,57,145,57,73
182,ガーメイル,ぎんいろのかぜ,エアカッター,どくのこな,ゆうわく,ヤタピのみ,ひかえめ,HP/とくこう,233,118,52,73,57,52
183,プクリン,ひみつのちから,くさむすび,ねがいごと,うたう,シルクのスカーフ,いじっぱり,HP/こうげき,137,73,62,143,135,37
184,キマワリ,メガドレイン,ねをはる,やどりぎのタネ,ひかりのかべ,キーのみ,おだやか,とくこう/とくぼう,127,51,77,133,129,72
185,チリーン,サイコウェーブ,こごえるかぜ,いやしのすず,しんぴのまもり,モモンのみ,おだやか,とくこう/とくぼう,127,124,143,37,72,92
186,グライガー,つばめがえし,すなじごく,メタルクロー,つるぎのまい,するどいツメ,いじっぱり,こうげき/ぼうぎょ,127,124,143,37,72,92
187,ハリーセン,バブルこうせん,どくどく,ミサイルばり,かたくなる,クラボのみ,てれや,こうげき/とくこう,127,133,82,93,62,92
188,ニューラ,だましうち,こおりのつぶて,にらみつける,ちょうはつ,キーのみ,ようき,こうげき/すばやさ,117,133,62,37,82,168
189,オオスバメ,ついばむ,でんこうせっか,きあいだめ,なきごえ,おうじゃのしるし,ようき,こうげき/すばやさ,122,123,67,51,57,179
190,ペリッパー,みずのはどう,エアカッター,たくわえる,のみこむ,カゴのみ,ひかえめ,ぼうぎょ/とくこう,122,51,138,135,77,72
191,コドラ,メタルクロー,がんせきふうじ,てっぺき,まもる,メタルコート,わんぱく,こうげき/ぼうぎょ,122,128,195,51,57,47
192,モンジャラ,メガドレイン,げんしのちから,どくどく,しめつける,モモンのみ,ずぶとい,ぼうぎょ/とくこう,127,55,168,138,47,67
193,ムウマ,あやしいかぜ,いたみわけ,あやしいひかり,でんじは,クラボのみ,おだやか,とくこう/とくぼう,122,60,67,123,135,92
194,アーボック,どくどくのキバ,かみつく,いえき,へびにらみ,キーのみ,いじっぱり,HP/こうげき,153,135,76,64,86,87
195,ペルシアン,きりさく,とんぼがえり,ゆうわく,いばる,シルクのスカーフ,ようき,こうげき/すばやさ,127,108,67,64,72,168
196,シードラ,バブルこうせん,オーロラビーム,えんまく,あまごい,するどいツメ,ずぶとい,ぼうぎょ/とくこう,117,64,146,133,52,92
197,ヤルキモノ,きりさく,おいうち,アンコール,カウンター,きあいのハチマキ,いじっぱり,HP/こうげき,173,129,84,55,62,97
198,ルナトーン,げんしのちから,ねんりき,コスモパワー,リフレクター,オボンのみ,ひかえめ,とくこう/とくぼう,132,55,72,146,123,77
199,ソルロック,サイコウェーブ,がんせきふうじ,コスモパワー,ひかりのかべ,オボンのみ,いじっぱり,こうげき/ぼうぎょ,132,146,123,55,72,77
200,カクレオン,きりさく,かげうち,しっぽをふる,マジックコート,サンのみ,しんちょう,こうげき/とくぼう,122,128,77,60,173,47
201,ロトム,でんきショック,おどろかす,でんじは,あやしいひかり,クラボのみ,ひかえめ,とくこう/すばやさ,112,51,84,146,84,129
202,オニドリル,ついばむ,からげんき,なきごえ,にらみつける,するどいくちばし,いじっぱり,こうげき/すばやさ,127,140,72,61,68,138
203,ヨルノズク,ひみつのちから,つばめがえし,ちょうおんぱ,リフレクター,キーのみ,いじっぱり,HP/こうげき,193,96,57,74,103,77
204,サンドパン,あなをほる,がんせきふうじ,まるくなる,すなあらし,オボンのみ,いじっぱり,こうげき/ぼうぎょ,137,151,148,46,62,72
205,モルフォン,ぎんいろのかぜ,サイケこうせん,ねむりごな,メロメロ,くろいヘドロ,おくびょう,とくこう/すばやさ,132,64,67,128,82,140
206,ラッキー,ゆびをふる,リフレッシュ,まるくなる,ちいさくなる,オボンのみ,なまいき,HP/とくぼう,343,12,12,42,157,51
207,アズマオウ,みずのはどう,サイケこうせん,ちょうおんぱ,あまごい,モモンのみ,ひかえめ,HP/とくこう,173,89,72,113,84,75
208,ワタッコ,つばめがえし,タネマシンガン,わたほうし,しっぽをふる,モモンのみ,ようき,こうげき/すばやさ,137,93,77,55,92,162
209,イノムー,こごえるかぜ,どろばくだん,しろいきり,あられ,とけないこおり,ひかえめ,HP/とくこう,193,96,87,107,67,57
210,ブニャット,きりさく,だましうち,メロメロ,なきごえ,シルクのスカーフ,いじっぱり,こうげき/すばやさ,133,132,71,63,66,150
211,マスキッパ,はっぱカッター,かみつく,あまいかおり,ねをはる,きせきのタネ,いじっぱり,HP/こうげき,167,151,79,87,79,53
212,ゴルバット,つばめがえし,どくどく,はがねのつばさ,あやしいひかり,ウタンのみ,ようき,こうげき/すばやさ,137,118,77,64,82,140
213,オコリザル,からてチョップ,みだれひっかき,みやぶる,きあいだめ,ピントレンズ,ようき,こうげき/すばやさ,127,143,67,60,77,146
214,サワムラー,まわしげり,からげんき,みやぶる,きあいだめ,くろおび,しんちょう,こうげき/とくぼう,112,158,60,37,162,94
215,エビワラー,マッハパンチ,バレットパンチ,こころのめ,カウンター,おうじゃのしるし,いじっぱり,こうげき/とくぼう,112,157,86,37,148,83
216,キリンリキ,サイケこうせん,スピードスター,バトンタッチ,こうそくいどう,ヤタピのみ,ひかえめ,とくこう/すばやさ,132,78,72,140,72,123
217,カポエラー,トリプルキック,マッハパンチ,みきり,きあいだめ,チイラのみ,いじっぱり,HP/こうげき,143,146,102,37,117,77
218,ジュペッタ,かげうち,はたきおとす,おにび,うらみ,チーゴのみ,いじっぱり,HP/こうげき,157,168,72,81,70,72
219,サマヨール,かげうち,いたみわけ,おにび,あやしいひかり,チーゴのみ,わんぱく,ぼうぎょ/とくぼう,102,77,184,60,168,32
220,テッカニン,むしくい,つばめがえし,すなかけ,バトンタッチ,カゴのみ,いじっぱり,HP/こうげき,154,140,52,51,57,167
221,ザングース,ひっかく,おいうち,みきり,にらみつける,キーのみ,いじっぱり,こうげき/すばやさ,135,168,67,60,67,128
222,ハブネーク,ポイズンテール,したでなめる,はたきおとす,へびにらみ,ピントレンズ,いじっぱり,HP/こうげき,166,151,67,96,67,72
223,ドードリオ,ついばむ,みだれづき,なきごえ,つぼをつく,ナナシのみ,ようき,こうげき/すばやさ,122,148,77,60,67,151
224,サメハダー,みずのはどう,かみつく,こわいかお,きあいだめ,クラボのみ,がんばりや,とくこう/すばやさ,132,127,47,133,47,133
225,バクーダ,マグニチュード,おにび,がんせきふうじ,ドわすれ,きあいのハチマキ,ゆうかん,HP/こうげき,163,151,77,112,82,42
226,トロピウス,はっぱカッター,つばめがえし,やどりぎのタネ,ゆうわく,サンのみ,いじっぱり,HP/こうげき,192,116,90,71,94,58
227,ネオラント,みずでっぽう,とんぼがえり,ゆうわく,メロメロ,ソクノのみ,てれや,こうげき/とくこう,131,107,83,107,93,98
228,レアコイル,でんげきは,マグネットボム,でんじは,ちょうおんぱ,ヤタピのみ,きまぐれ,こうげき/とくこう,112,98,102,158,77,77
229,マンタイン,バブルこうせん,つばさでうつ,こうそくいどう,ちょうおんぱ,しんぴのしずく,がんばりや,こうげき/とくこう,127,78,77,118,147,77
230,オドシシ,ふみつけ,かみつく,ふういん,あやしいひかり,チイラのみ,いじっぱり,こうげき/すばやさ,135,146,69,82,72,123
231,マルノーム,ヘドロこうげき,たくわえる,のみこむ,はきだす,のんきのおこう,ひかえめ,HP/ぼうぎょ/とくぼう,183,72,111,88,111,62
232,シザリガー,バブルこうせん,あくのはどう,かたくなる,ちょうはつ,キーのみ,ひかえめ,ぼうぎょ/とくこう,125,114,123,140,62,62
233,ピジョット,つばさでうつ,からげんき,おいかぜ,すなかけ,クラボのみ,いじっぱり,こうげき/すばやさ,145,129,82,69,77,129
234,ネイティオ,しねんのずつき,ついばむ,おいかぜ,みらいよち,するどいくちばし,ようき,こうげき/すばやさ,127,113,77,91,77,146
235,コータス,ひのこ,どろかけ,スモッグ,ドわすれ,ヤタピのみ,ずぶとい,ぼうぎょ/とくこう,132,82,195,123,77,27
236,ブーピッグ,サイケこうせん,くさむすび,みらいよち,あやしいひかり,ヤタピのみ,おだやか,とくこう/とくぼう,142,46,72,128,162,87
237,ピクシー,ゆびをふる,かげぶんしん,リフレクター,このゆびとまれ,カゴのみ,てれや,ぼうぎょ/とくぼう,157,77,111,92,128,67
238,キングラー,バブルこうせん,はさむ,かたくなる,どろあそび,ソクノのみ,れいせい,ぼうぎょ/とくこう,117,137,153,96,57,73
239,ノクタス,タネマシンガン,だましうち,まきびし,ねをはる,ヨプのみ,いじっぱり,HP/こうげき,163,168,67,109,67,62
240,キレイハナ,マジカルリーフ,ようかいえき,くすぐる,しびれごな,ヤタピのみ,ひかえめ,HP/とくこう,168,78,38,140,107,57
241,オクタン,オクタンほう,こごえるかぜ,でんじは,きあいだめ,ソクノのみ,ひかえめ,HP/とくこう,168,100,82,157,82,52
242,ハンテール,みずのはどう,かみつく,いやなおと,あまごい,しんぴのしずく,きまぐれ,こうげき/ぼうぎょ,117,142,143,101,82,59
243,サクラビス,みずのはどう,ねんりき,あまごい,アクアリング,さざなみのおこう,ずぶとい,HP/ぼうぎょ,148,81,157,121,82,59
244,ジーランス,みずのはどう,がんせきふうじ,どろあそび,かたくなる,さざなみのおこう,のんき,ぼうぎょ/とくこう,162,97,184,83,72,55
245,エレブー,でんげきは,スピードスター,でんじは,ひかりのかべ,サンのみ,おくびょう,とくこう/すばやさ,127,81,64,133,92,157
246,ブーバー,ほのおのパンチ,マッハパンチ,えんまく,おにび,サンのみ,ようき,こうげき/すばやさ,127,133,64,96,92,144
247,オムスター,みずでっぽう,ころがる,からにこもる,まきびし,メトロノーム,ゆうかん,こうげき/ぼうぎょ,132,107,163,122,77,55
248,カブトプス,アクアジェット,がんせきふうじ,かたくなる,きんぞくおん,うしおのおこう,わんぱく,こうげき/ぼうぎょ,122,153,157,64,77,87
249,ストライク,れんぞくぎり,つばさでうつ,ひかりのかべ,にらみつける,メトロノーム,ようき,HP/すばやさ,163,117,87,55,87,157
250,パルシェン,オーロラビーム,みずのはどう,まきびし,ちょうおんぱ,とけないこおり,ずぶとい,ぼうぎょ/とくこう,112,91,239,123,52,77
251,フシギソウ,ギガドレイン,ヘドロばくだん,ねむりごな,やどりぎのタネ,おおきなねっこ,ひかえめ,とくこう/とくぼう,124,63,72,132,120,69
252,リザード,かえんほうしゃ,シャドークロー,つばめがえし,えんまく,するどいツメ,てれや,こうげき/すばやさ,122,104,67,89,74,120
253,カメール,なみのり,れいとうビーム,かわらわり,ねこだまし,かいがらのすず,まじめ,HP/とくこう,154,72,89,105,89,67
254,ベイリーフ,ギガドレイン,のしかかり,くさぶえ,ねむる,カゴのみ,すなお,ぼうぎょ/とくこう/とくぼう,124,71,110,93,110,69
255,マグマラシ,かえんほうしゃ,ブレイククロー,でんこうせっか,えんまく,きあいのハチマキ,まじめ,こうげき/とくこう,122,104,67,120,74,89
256,アリゲイツ,アクアテール,かみくだく,いわなだれ,こわいかお,きあいのハチマキ,いじっぱり,こうげき/ぼうぎょ,129,132,120,61,72,67
257,ジュプトル,リーフブレード,いわなだれ,かみくだく,いやなおと,バコウのみ,いじっぱり,こうげき/すばやさ,114,115,54,84,74,135
258,ワカシャモ,かえんほうしゃ,スカイアッパー,きりさく,すなかけ,ピントレンズ,すなお,こうげき/とくこう,124,125,69,125,69,64
259,ヌマクロー,だくりゅう,じしん,げんしのちから,まもる,キーのみ,れいせい,こうげき/とくこう,134,125,79,110,79,53
260,ハヤシガメ,タネばくだん,かみくだく,のろい,こうごうせい,オッカのみ,ゆうかん,こうげき/ぼうぎょ,139,141,125,64,74,40
261,モウカザル,ブレイズキック,かわらわり,いわなだれ,いちゃもん,ピントレンズ,いじっぱり,こうげき/すばやさ,128,129,61,78,61,121
262,ポッタイシ,なみのり,ドリルくちばし,メタルクロー,あまごい,きあいのハチマキ,てれや,こうげき/とくこう,128,106,77,121,85,59
263,ウソッキー,ストーンエッジ,じしん,ものまね,じばく,いのちのたま,いじっぱり,こうげき/ぼうぎょ,134,154,155,35,74,39
264,マグカルゴ,オーバーヒート,いわなだれ,じしん,のしかかり,せんせいのツメ,れいせい,こうげき/とくこう,114,90,129,132,89,35
265,サナギラス,じしん,いわなだれ,かみくだく,こわいかお,やわらかいすな,いじっぱり,HP/こうげき,165,136,79,66,79,60
266,トドグラー,れいとうビーム,なみのり,シグナルビーム,あられ,カゴのみ,れいせい,HP/とくこう,185,69,79,126,79,48
267,ビーダル,ひっさつまえば,いかりのまえば,ついばむ,メロメロ,かいがらのすず,いじっぱり,HP/こうげき,174,137,69,57,69,80
268,ガバイト,ドラゴンクロー,じしん,きりさく,すなあらし,ちからのハチマキ,いじっぱり,こうげき/すばやさ,132,143,74,53,64,122
269,ゴーリキー,クロスチョップ,からげんき,いわなだれ,カウンター,ピントレンズ,いじっぱり,HP/こうげき,175,154,79,53,69,54
270,ラッタ,いかりのまえば,ひっさつまえば,シャドーボール,こわいかお,ヨプのみ,てれや,こうげき/とくこう/すばやさ,119,111,69,80,79,127
271,アメモース,むしのさざめき,エアスラッシュ,シャドーボール,しびれごな,ヤタピのみ,れいせい,とくこう/とくぼう,134,69,71,132,122,62
272,オオタチ,やつあたり,シャドークロー,トリック,ねこのて,こだわりハチマキ,いじっぱり,こうげき/すばやさ,149,127,73,48,64,130
273,ルクシオ,１０まんボルト,シグナルビーム,スピードスター,でんじは,ヤタピのみ,ひかえめ,HP/とくこう,155,84,58,110,58,69
274,チェリム,ソーラービーム,やどりぎのタネ,にほんばれ,こうごうせい,パワフルハーブ,ひかえめ,HP/とくこう,165,62,79,139,87,94
275,ハクリュー,りゅうのはどう,アクアテール,たたきつける,りゅうのまい,ハバンのみ,きまぐれ,こうげき/とくこう,125,124,74,110,79,79
276,グラエナ,かみくだく,とっしん,ふいうち,とおぼえ,ヨプのみ,いじっぱり,こうげき/ぼうぎょ,134,143,110,62,69,79
277,マッスグマ,やつあたり,シャドークロー,あなをほる,すりかえ,こだわりスカーフ,ようき,こうげき/すばやさ,142,110,70,53,70,154
278,ユンゲラー,サイコキネシス,シャドーボール,でんげきは,リフレクター,クラボのみ,ひかえめ,とくこう/すばやさ,104,39,39,176,79,145
279,コモルー,ドラゴンクロー,かみくだく,りゅうのまい,こわいかお,きあいのハチマキ,いじっぱり,こうげき/ぼうぎょ,129,148,140,62,59,59
280,メタング,コメットパンチ,しねんのずつき,バレットパンチ,こわいかお,シュカのみ,いじっぱり,HP/こうげき,155,126,109,57,89,59
281,ミノマダム,ギガドレイン,シグナルビーム,サイコキネシス,メロメロ,バコウのみ,ひかえめ,ぼうぎょ/とくこう,124,61,125,130,114,45
282,ガーメイル,むしのさざめき,エアスラッシュ,サイコキネシス,どくのこな,バコウのみ,ひかえめ,HP/とくこう,165,92,59,147,59,75
283,プクリン,ハイパーボイス,シャドーボール,うたう,ゆめくい,オボンのみ,ひかえめ,HP/とくこう,235,71,54,126,59,54
284,キマワリ,ギガドレイン,ヘドロばくだん,くさぶえ,かげぶんしん,オボンのみ,ひかえめ,HP/とくこう,170,75,64,159,94,39
285,チリーン,サイコキネシス,シャドーボール,さいみんじゅつ,ゆめくい,まがったスプーン,れいせい,HP/とくこう,160,59,79,148,89,66
286,グライガー,じしん,つばめがえし,アクアテール,すなあらし,せんせいのツメ,いじっぱり,こうげき/すばやさ,129,126,114,39,74,125
287,ハリーセン,アクアテール,どくづき,リベンジ,みちづれ,きあいのハチマキ,いじっぱり,こうげき/ぼうぎょ,129,148,115,57,64,94
288,ニューラ,れいとうパンチ,だましうち,ブレイククロー,うらみ,おうじゃのしるし,ようき,こうげき/すばやさ,119,135,64,39,84,170
289,オオスバメ,からげんき,つばめがえし,なきごえ,とんぼがえり,どくどくだま,いじっぱり,こうげき/すばやさ,124,137,69,53,59,165
290,ペリッパー,なみのり,エアカッター,れいとうビーム,おいかぜ,かいがらのすず,ひかえめ,ぼうぎょ/とくこう,124,53,140,137,79,74
291,コドラ,アイアンヘッド,いわなだれ,じしん,ほえる,オボンのみ,わんぱく,こうげき/ぼうぎょ,124,130,198,53,59,49
292,モンジャラ,ギガドレイン,ヘドロばくだん,しぼりとる,ねをはる,モモンのみ,ずぶとい,ぼうぎょ/とくこう,129,57,170,140,49,69
293,ムウマ,シャドーボール,サイコキネシス,でんじは,あやしいひかり,カシブのみ,ひかえめ,とくこう/すばやさ,124,62,69,137,94,125
294,アーボック,ヘドロばくだん,どろばくだん,かみくだく,へびにらみ,ウタンのみ,きまぐれ,こうげき/とくこう,124,125,78,105,88,89
295,ペルシアン,きりさく,シャドークロー,かみつく,ねこだまし,するどいツメ,いじっぱり,こうげき/すばやさ,129,121,69,66,74,155
296,シードラ,なみのり,れいとうビーム,たつまき,えんまく,かいがらのすず,ひかえめ,ぼうぎょ/とくこう,119,66,135,148,54,94
297,ヤルキモノ,ブレイククロー,シャドークロー,きしかいせい,こらえる,カムラのみ,いじっぱり,こうげき/すばやさ,144,132,89,57,64,130
298,ルナトーン,サイコキネシス,げんしのちから,シャドーボール,コスモパワー,イトケのみ,ひかえめ,とくこう/とくぼう,134,57,74,148,125,79
299,ソルロック,しねんのずつき,いわなだれ,おにび,コスモパワー,イトケのみ,いじっぱり,こうげき/ぼうぎょ,134,148,125,57,74,79
300,カクレオン,やつあたり,シャドークロー,つばめがえし,トリック,こだわりスカーフ,しんちょう,こうげき/とくぼう,124,130,79,62,176,49
301,ロトム,ほうでん,あやしいかぜ,でんじは,かげぶんしん,じしゃく,ひかえめ,とくこう/すばやさ,114,53,86,148,86,131
302,オニドリル,ドリルくちばし,やつあたり,だましうち,とんぼがえり,クラボのみ,いじっぱり,こうげき/すばやさ,129,143,74,63,70,140
303,ヨルノズク,エアスラッシュ,スピードスター,サイコキネシス,リフレクター,キーのみ,れいせい,HP/とくこう,195,59,59,127,105,71
304,サンドパン,じしん,いわなだれ,ブレイククロー,すなあらし,せんせいのツメ,いじっぱり,こうげき/ぼうぎょ,139,154,150,48,64,74
305,モルフォン,むしのさざめき,ヘドロばくだん,サイコキネシス,ちょうおんぱ,ぎんのこな,ひかえめ,とくこう/すばやさ,134,66,69,143,84,130
306,ラッキー,タマゴばくだん,きあいパンチ,うたう,タマゴうみ,ラッキーパンチ,わんぱく,HP/とくぼう,345,14,15,39,145,59
307,アズマオウ,アクアテール,どくづき,からげんき,アクアリング,せんせいのツメ,いじっぱり,HP/こうげき,175,145,74,66,89,77
308,ワタッコ,タネばくだん,とびはねる,ねむりごな,こうごうせい,オボンのみ,いじっぱり,こうげき/すばやさ,139,104,79,57,94,150
309,イノムー,こおりのキバ,じしん,ストーンエッジ,のろい,ちからのハチマキ,いじっぱり,HP/こうげき,195,154,89,62,69,59
310,ブニャット,のしかかり,シャドークロー,メロメロ,ねこだまし,チイラのみ,いじっぱり,こうげき/すばやさ,135,134,73,65,68,152
311,マスキッパ,タネばくだん,しぼりとる,かみくだく,ねをはる,オッカのみ,いじっぱり,HP/こうげき,169,154,81,89,81,55
312,ゴルバット,どくどくのキバ,つばめがえし,しねんのずつき,あやしいひかり,くろいヘドロ,いじっぱり,こうげき/すばやさ,139,132,79,66,84,130
313,オコリザル,クロスチョップ,じしん,いわなだれ,いばる,たつじんのおび,いじっぱり,こうげき/すばやさ,129,159,69,32,79,135
314,サワムラー,とびひざげり,ブレイズキック,メガトンキック,こらえる,カムラのみ,いじっぱり,こうげき/とくぼう/すばやさ,114,165,32,39,140,117
315,エビワラー,スカイアッパー,メガトンパンチ,バレットパンチ,カウンター,おうじゃのしるし,いじっぱり,こうげき/とくぼう/すばやさ,114,148,88,39,140,106
316,キリンリキ,しねんのずつき,ダブルアタック,かみくだく,でんじは,するどいツメ,いじっぱり,こうげき/すばやさ,134,132,74,89,74,125
317,カポエラー,トリプルキック,バレットパンチ,つばめがえし,カウンター,ちからのハチマキ,いじっぱり,HP/こうげき,145,148,109,39,119,79
318,ジュペッタ,シャドークロー,だましうち,おにび,トリックルーム,ナモのみ,いじっぱり,HP/こうげき,159,170,74,82,72,74
319,サマヨール,シャドーパンチ,しっぺがえし,かわらわり,あやしいひかり,ナモのみ,わんぱく,HP/ぼうぎょ/とくぼう,125,79,176,62,160,34
320,テッカニン,シザークロス,つばめがえし,つじぎり,バトンタッチ,するどいキバ,いじっぱり,HP/こうげき,156,143,54,53,59,169
321,ザングース,ブレイククロー,シャドークロー,つばめがえし,ちょうはつ,するどいツメ,いじっぱり,こうげき/すばやさ,137,170,69,62,69,130
322,ハブネーク,ヘドロばくだん,かみくだく,アクアテール,いばる,くろいヘドロ,いじっぱり,HP/こうげき,168,154,39,98,69,74
323,ドードリオ,ドリルくちばし,やつあたり,だましうち,つぼをつく,おうじゃのしるし,ようき,こうげき/すばやさ,124,150,79,62,69,154
324,サメハダー,かみくだく,たきのぼり,こおりのキバ,いばる,ソクノのみ,いじっぱり,こうげき/すばやさ,134,176,49,93,49,135
